user_input,retrieved_contexts,response,reference,faithfulness,context_recall,factual_correctness(mode=f1)
¿En qué empresa trabaja actualmente Rodrigo?,"['Drogeria Saporitti - .Net Backend Developer 2020 - 2021 Front-end developer working with React and Redux. Architecting a platform used to manage campaigns for companies like Heineken. The Next Ad is a company based in the Netherlands. education Instituto Terciario de Tecnología (ISTEA) 2020 - 2023 Graduated as Software Development Technician. Tools and technologies included HTML, CSS, JavaScript, SQL, .Net, C#.', 'Rodrigo Carmona rodrigocarrmona@gmail.com linkedin.com/rodrigocarmona experience Concentrix - Fullstack Ruby on Rails Developer 2022 - now Development and maintenance of a healthcare platform. Backend development with Rails and REST APIs, asynchronous processing with Sidekiq/Redis, and integration with AWS S3, Lambda and Cloudwatch. Bug resolution, new feature development, and code quality improvements. Agile with Azure DevOps, version control with Git, testing with RSpec.', 'Also designed and implemented a cloud -based service integrating AWS Step Functions, Lambda, and Amazon Bedrock (Claude foundation models) to automate PDF data extraction. Maer Software - .Net Backend Developer 2021 - 2022 Development and maintenance of a multipurpose CRM tool for multiple clients. Multilayer .NET MVC monolithic architecture with NHibernate ORM. Frontend with DevExpress, HTML, CSS and JavaScript. Version control via GitLab.']",Actualmente trabaja en Concentrix.,Trabaja en Concentrix como Fullstack Ruby on Rails Developer desde 2022.,1.0,1.0,
¿Qué hace en su rol actual?,"['Drogeria Saporitti - .Net Backend Developer 2020 - 2021 Front-end developer working with React and Redux. Architecting a platform used to manage campaigns for companies like Heineken. The Next Ad is a company based in the Netherlands. education Instituto Terciario de Tecnología (ISTEA) 2020 - 2023 Graduated as Software Development Technician. Tools and technologies included HTML, CSS, JavaScript, SQL, .Net, C#.', 'Rodrigo Carmona rodrigocarrmona@gmail.com linkedin.com/rodrigocarmona experience Concentrix - Fullstack Ruby on Rails Developer 2022 - now Development and maintenance of a healthcare platform. Backend development with Rails and REST APIs, asynchronous processing with Sidekiq/Redis, and integration with AWS S3, Lambda and Cloudwatch. Bug resolution, new feature development, and code quality improvements. Agile with Azure DevOps, version control with Git, testing with RSpec.', 'Also designed and implemented a cloud -based service integrating AWS Step Functions, Lambda, and Amazon Bedrock (Claude foundation models) to automate PDF data extraction. Maer Software - .Net Backend Developer 2021 - 2022 Development and maintenance of a multipurpose CRM tool for multiple clients. Multilayer .NET MVC monolithic architecture with NHibernate ORM. Frontend with DevExpress, HTML, CSS and JavaScript. Version control via GitLab.']","En su rol actual (Concentrix - Fullstack Ruby on Rails Developer) desarrolla y mantiene una plataforma de salud. Hace backend con Rails y REST APIs, procesamiento asíncrono con Sidekiq/Redis, e integración con AWS S3, Lambda y Cloudwatch. También res","Desarrollo backend con Rails y REST APIs para una plataforma de salud, y un servicio en la nube con AWS Step Functions, Lambda y Amazon Bedrock para automatizar extracción de datos de PDFs.",,1.0,
¿Dónde trabajó antes de Concentrix?,"['Drogeria Saporitti - .Net Backend Developer 2020 - 2021 Front-end developer working with React and Redux. Architecting a platform used to manage campaigns for companies like Heineken. The Next Ad is a company based in the Netherlands. education Instituto Terciario de Tecnología (ISTEA) 2020 - 2023 Graduated as Software Development Technician. Tools and technologies included HTML, CSS, JavaScript, SQL, .Net, C#.', 'Rodrigo Carmona rodrigocarrmona@gmail.com linkedin.com/rodrigocarmona experience Concentrix - Fullstack Ruby on Rails Developer 2022 - now Development and maintenance of a healthcare platform. Backend development with Rails and REST APIs, asynchronous processing with Sidekiq/Redis, and integration with AWS S3, Lambda and Cloudwatch. Bug resolution, new feature development, and code quality improvements. Agile with Azure DevOps, version control with Git, testing with RSpec.', 'Also designed and implemented a cloud -based service integrating AWS Step Functions, Lambda, and Amazon Bedrock (Claude foundation models) to automate PDF data extraction. Maer Software - .Net Backend Developer 2021 - 2022 Development and maintenance of a multipurpose CRM tool for multiple clients. Multilayer .NET MVC monolithic architecture with NHibernate ORM. Frontend with DevExpress, HTML, CSS and JavaScript. Version control via GitLab.']",,"En Maer Software como .Net Backend Developer, de 2021 a 2022.",,1.0,
¿Y antes de Maer Software?,"['Also designed and implemented a cloud -based service integrating AWS Step Functions, Lambda, and Amazon Bedrock (Claude foundation models) to automate PDF data extraction. Maer Software - .Net Backend Developer 2021 - 2022 Development and maintenance of a multipurpose CRM tool for multiple clients. Multilayer .NET MVC monolithic architecture with NHibernate ORM. Frontend with DevExpress, HTML, CSS and JavaScript. Version control via GitLab.', 'Drogeria Saporitti - .Net Backend Developer 2020 - 2021 Front-end developer working with React and Redux. Architecting a platform used to manage campaigns for companies like Heineken. The Next Ad is a company based in the Netherlands. education Instituto Terciario de Tecnología (ISTEA) 2020 - 2023 Graduated as Software Development Technician. Tools and technologies included HTML, CSS, JavaScript, SQL, .Net, C#.', 'languages Spanish Native English Advanced certiﬁcations AWS Certiﬁed AI Practitioner Amazon Web Services, 2025']","Según el contexto, antes de Maer Software trabajó en Drogeria Saporitti como .Net Backend Developer entre 2020 y 2021.","En Drogeria Saporitti como .Net Backend Developer, de 2020 a 2021.",,1.0,
¿Qué tecnología usa para testing?,"['skills Languages and Frameworks Ruby on Rails · C# · .NET · JavaScript · HTML/CSS Databases PostgreSQL · SQL Server · Redis Infrastructure & cloud AWS (S3, Lambda, Step Functions, Bedrock, EventBridge, API Gateway, CloudWatch, Textract, IAM, Dynamo) · Docker Tools & practices Sidekiq · RSpec · Datadog · Git · Postman · Azure DevOps · Scrum · Datadog AI/ML developments Actively follow AI/ML releases and experiment with LLM APIs, agentic frameworks and automation workﬂows.', 'Drogeria Saporitti - .Net Backend Developer 2020 - 2021 Front-end developer working with React and Redux. Architecting a platform used to manage campaigns for companies like Heineken. The Next Ad is a company based in the Netherlands. education Instituto Terciario de Tecnología (ISTEA) 2020 - 2023 Graduated as Software Development Technician. Tools and technologies included HTML, CSS, JavaScript, SQL, .Net, C#.', 'Rodrigo Carmona rodrigocarrmona@gmail.com linkedin.com/rodrigocarmona experience Concentrix - Fullstack Ruby on Rails Developer 2022 - now Development and maintenance of a healthcare platform. Backend development with Rails and REST APIs, asynchronous processing with Sidekiq/Redis, and integration with AWS S3, Lambda and Cloudwatch. Bug resolution, new feature development, and code quality improvements. Agile with Azure DevOps, version control with Git, testing with RSpec.']",Usa RSpec para testing.,RSpec.,1.0,1.0,
¿Qué usa para procesamiento asíncrono?,"['Rodrigo Carmona rodrigocarrmona@gmail.com linkedin.com/rodrigocarmona experience Concentrix - Fullstack Ruby on Rails Developer 2022 - now Development and maintenance of a healthcare platform. Backend development with Rails and REST APIs, asynchronous processing with Sidekiq/Redis, and integration with AWS S3, Lambda and Cloudwatch. Bug resolution, new feature development, and code quality improvements. Agile with Azure DevOps, version control with Git, testing with RSpec.', 'Also designed and implemented a cloud -based service integrating AWS Step Functions, Lambda, and Amazon Bedrock (Claude foundation models) to automate PDF data extraction. Maer Software - .Net Backend Developer 2021 - 2022 Development and maintenance of a multipurpose CRM tool for multiple clients. Multilayer .NET MVC monolithic architecture with NHibernate ORM. Frontend with DevExpress, HTML, CSS and JavaScript. Version control via GitLab.', 'Drogeria Saporitti - .Net Backend Developer 2020 - 2021 Front-end developer working with React and Redux. Architecting a platform used to manage campaigns for companies like Heineken. The Next Ad is a company based in the Netherlands. education Instituto Terciario de Tecnología (ISTEA) 2020 - 2023 Graduated as Software Development Technician. Tools and technologies included HTML, CSS, JavaScript, SQL, .Net, C#.']","Según el contexto, usa Sidekiq/Redis para procesamiento asíncrono.",Sidekiq y Redis.,1.0,1.0,
¿Qué certificación tiene?,"['languages Spanish Native English Advanced certiﬁcations AWS Certiﬁed AI Practitioner Amazon Web Services, 2025', 'Rodrigo Carmona rodrigocarrmona@gmail.com linkedin.com/rodrigocarmona experience Concentrix - Fullstack Ruby on Rails Developer 2022 - now Development and maintenance of a healthcare platform. Backend development with Rails and REST APIs, asynchronous processing with Sidekiq/Redis, and integration with AWS S3, Lambda and Cloudwatch. Bug resolution, new feature development, and code quality improvements. Agile with Azure DevOps, version control with Git, testing with RSpec.', 'Drogeria Saporitti - .Net Backend Developer 2020 - 2021 Front-end developer working with React and Redux. Architecting a platform used to manage campaigns for companies like Heineken. The Next Ad is a company based in the Netherlands. education Instituto Terciario de Tecnología (ISTEA) 2020 - 2023 Graduated as Software Development Technician. Tools and technologies included HTML, CSS, JavaScript, SQL, .Net, C#.']","Tiene la certificación ""AWS Certified AI Practitioner"" de Amazon Web Services, 2025.","AWS Certified AI Practitioner, obtenida en 2025.",1.0,1.0,0.8
¿Dónde estudió?,"['Drogeria Saporitti - .Net Backend Developer 2020 - 2021 Front-end developer working with React and Redux. Architecting a platform used to manage campaigns for companies like Heineken. The Next Ad is a company based in the Netherlands. education Instituto Terciario de Tecnología (ISTEA) 2020 - 2023 Graduated as Software Development Technician. Tools and technologies included HTML, CSS, JavaScript, SQL, .Net, C#.', 'languages Spanish Native English Advanced certiﬁcations AWS Certiﬁed AI Practitioner Amazon Web Services, 2025', 'Also designed and implemented a cloud -based service integrating AWS Step Functions, Lambda, and Amazon Bedrock (Claude foundation models) to automate PDF data extraction. Maer Software - .Net Backend Developer 2021 - 2022 Development and maintenance of a multipurpose CRM tool for multiple clients. Multilayer .NET MVC monolithic architecture with NHibernate ORM. Frontend with DevExpress, HTML, CSS and JavaScript. Version control via GitLab.']",Instituto Terciario de Tecnología (ISTEA).,"En el Instituto Terciario de Tecnología (ISTEA), como Técnico en Desarrollo de Software, de 2020 a 2023.",1.0,1.0,
¿Qué bases de datos maneja?,"['skills Languages and Frameworks Ruby on Rails · C# · .NET · JavaScript · HTML/CSS Databases PostgreSQL · SQL Server · Redis Infrastructure & cloud AWS (S3, Lambda, Step Functions, Bedrock, EventBridge, API Gateway, CloudWatch, Textract, IAM, Dynamo) · Docker Tools & practices Sidekiq · RSpec · Datadog · Git · Postman · Azure DevOps · Scrum · Datadog AI/ML developments Actively follow AI/ML releases and experiment with LLM APIs, agentic frameworks and automation workﬂows.', 'Drogeria Saporitti - .Net Backend Developer 2020 - 2021 Front-end developer working with React and Redux. Architecting a platform used to manage campaigns for companies like Heineken. The Next Ad is a company based in the Netherlands. education Instituto Terciario de Tecnología (ISTEA) 2020 - 2023 Graduated as Software Development Technician. Tools and technologies included HTML, CSS, JavaScript, SQL, .Net, C#.', 'Also designed and implemented a cloud -based service integrating AWS Step Functions, Lambda, and Amazon Bedrock (Claude foundation models) to automate PDF data extraction. Maer Software - .Net Backend Developer 2021 - 2022 Development and maintenance of a multipurpose CRM tool for multiple clients. Multilayer .NET MVC monolithic architecture with NHibernate ORM. Frontend with DevExpress, HTML, CSS and JavaScript. Version control via GitLab.']","Según el contexto, maneja las siguientes bases de datos: PostgreSQL, SQL Server y Redis.","PostgreSQL, SQL Server y Redis.",1.0,1.0,
¿Qué nivel de inglés tiene?,"['languages Spanish Native English Advanced certiﬁcations AWS Certiﬁed AI Practitioner Amazon Web Services, 2025', 'skills Languages and Frameworks Ruby on Rails · C# · .NET · JavaScript · HTML/CSS Databases PostgreSQL · SQL Server · Redis Infrastructure & cloud AWS (S3, Lambda, Step Functions, Bedrock, EventBridge, API Gateway, CloudWatch, Textract, IAM, Dynamo) · Docker Tools & practices Sidekiq · RSpec · Datadog · Git · Postman · Azure DevOps · Scrum · Datadog AI/ML developments Actively follow AI/ML releases and experiment with LLM APIs, agentic frameworks and automation workﬂows.', 'Drogeria Saporitti - .Net Backend Developer 2020 - 2021 Front-end developer working with React and Redux. Architecting a platform used to manage campaigns for companies like Heineken. The Next Ad is a company based in the Netherlands. education Instituto Terciario de Tecnología (ISTEA) 2020 - 2023 Graduated as Software Development Technician. Tools and technologies included HTML, CSS, JavaScript, SQL, .Net, C#.']",Advanced.,Avanzado.,1.0,1.0,
